1047
50 52
245 531 1
1289 1348 0
1183 1373 1
1318 1425 1
763 976 1
472 727 1
1113 1423 1
72 1351 1
667 1309 0
395 1043 1
380 1269 1
1383 1394 1
270 825 0
288 1195 0
418 500 1
419 786 0
1380 1411 1
646 1136 1
1281 1363 1
293 574 0
373 497 1
1305 1325 0
1078 1093 0
827 932 1
904 1197 1
1071 1217 0
919 965 1
730 808 0
215 1176 0
1392 1413 1
554 1089 1
977 1337 1
1296 1320 0
564 1357 0
1230 1314 0
904 1423 1
1061 1363 0
192 998 0
156 292 0
1192 1203 1
762 1015 0
878 1165 0
1041 1303 0
1322 1437 0
484 576 1
1002 1050 0
863 917 0
749 985 1
903 1195 0
1153 1420 0
261 792 0
282 521 0
314 1177 1
302 549 1
756 1285 1
1013 1175 1
1019 1202 0
995 1379 0
1199 1308 1
243 440 0
250 910 1
433 620 0
1263 1282 1
135 866 1
335 1426 0
501 1069 0
903 1121 1
1314 1382 0
500 1380 1
862 1068 0
1330 1430 0
466 503 1
1145 1309 1
777 1026 0
132 740 1
1288 1435 1
190 462 1
898 1431 0
1134 1312 1
56 663 0
861 1043 1
58 462 1
1041 1250 1
517 1031 1
287 962 1
651 859 0
666 771 1
971 1356 1
861 1039 0
332 858 0
1048 1327 1
1085 1108 1
75 437 1
142 1386 0
50 449 1
1351 1415 1
1068 1372 1
159 1205 1
981 1086 1
46 1080 1
336 1222 1
1053 1266 1
42 1295 1
571 660 1
151 1317 1
736 1108 0
146 1120 1
496 1321 1
633 758 0
161 1402 1
1199 1321 0
434 930 1
1176 1215 0
1070 1296 0
191 1214 1
1275 1359 1
130 526 1
1140 1425 1
739 906 0
9 533 1
1331 1416 0
570 852 0
871 1378 0
873 1092 1
1230 1361 0
1183 1415 0
151 924 1
804 1026 1
1304 1317 1
1394 1416 0
795 956 0
1233 1308 0
1177 1235 1
297 1191 1
38 1324 1
720 1332 1
870 1099 1
1048 1070 1
142 882 0
1119 1435 1
384 466 0
737 861 1
1405 1424 0
337 919 0
248 1032 1
1359 1400 1
827 1409 1
259 780 1
1281 1330 1
778 1336 1
564 846 1
1198 1355 1
1077 1391 1
531 1435 0
603 1353 1
23 1433 1
371 839 0
22 140 0
962 1136 0
985 1270 0
473 1275 0
47 1396 0
471 617 1
657 923 1
218 355 0
1299 1383 0
679 1056 0
1121 1207 0
1089 1321 0
768 873 1
154 1193 1
1424 1436 1
541 1195 0
748 1338 1
369 748 0
1336 1414 1
680 1169 0
240 877 0
518 734 0
392 612 1
388 409 1
1378 1406 0
368 1315 0
720 1094 1
964 1273 1
747 855 1
654 684 0
372 683 1
744 912 1
67 178 1
1025 1431 1
521 531 1
66 575 0
1020 1177 1
974 1231 0
362 503 0
348 1080 1
567 811 1
833 1380 0
474 1379 1
552 1074 0
956 1284 1
225 896 0
331 863 0
847 977 0
800 913 1
457 991 0
1178 1306 0
1393 1424 0
1242 1385 1
437 1086 1
724 1066 1
849 1385 1
513 1437 1
678 1030 0
347 403 0
508 699 1
824 1301 1
1334 1404 0
709 1065 1
98 1175 1
474 767 1
1086 1181 1
1382 1397 0
1164 1425 1
1059 1176 1
942 1258 1
54 1264 1
396 1331 1
60 1015 0
1190 1426 0
1021 1175 0
929 1432 1
548 1327 0
1382 1405 0
1233 1305 0
922 1242 1
1386 1430 0
21 1017 0
619 1079 1
468 1292 1
1139 1157 1
344 358 0
1352 1433 0
387 406 0
318 447 0
354 1308 1
271 382 1
1206 1431 0
783 910 0
24 224 1
69 347 1
616 1211 1
578 1050 0
946 1070 1
361 1343 0
1354 1387 0
1415 1434 0
459 1201 1
732 1179 1
1133 1324 0
393 1218 0
1031 1170 1
440 635 1
335 823 1
129 1156 1
58 669 1
461 519 1
1333 1437 0
674 1307 1
858 1072 0
351 638 0
1000 1344 0
648 772 1
1114 1304 1
562 771 0
271 1222 0
1082 1136 0
604 1055 1
372 977 1
1130 1303 1
1144 1301 1
128 640 1
885 1173 1
1342 1427 1
553 833 1
32 1174 1
334 571 1
150 1271 0
5 1214 1
1371 1434 1
985 1211 1
109 1360 1
1287 1365 1
644 940 0
57 330 1
436 548 1
594 846 1
1258 1414 0
308 394 1
265 887 0
1254 1289 1
1153 1175 0
551 924 1
1187 1275 1
723 1125 1
507 575 0
676 1080 0
172 366 1
1258 1411 0
946 1119 0
92 389 0
471 564 1
1367 1402 1
629 848 0
346 1115 0
197 1129 0
1057 1427 0
662 1157 1
292 424 1
333 830 0
926 1094 0
1310 1404 1
423 494 1
914 1124 0
1229 1347 0
1372 1388 0
43 179 1
358 724 1
67 618 0
1231 1261 1
1415 1425 1
1019 1073 0
129 1390 1
1231 1366 0
225 417 0
1320 1392 0
211 313 1
1199 1232 1
114 1281 1
733 1386 0
1247 1270 0
371 1011 0
1343 1407 0
402 439 1
1085 1237 0
499 773 0
905 1355 1
1420 1440 1
696 910 1
1273 1322 0
1057 1174 0
1417 1433 1
920 1372 0
97 251 1
151 967 0
785 1125 1
894 1380 1
665 1256 0
176 949 1
595 1025 1
354 437 0
978 1392 0
974 1043 1
465 1294 0
1208 1291 0
621 644 0
283 834 0
127 1123 0
678 736 1
235 1261 1
527 772 1
811 1370 1
589 856 1
235 509 1
1364 1389 0
1201 1311 0
481 1222 0
1063 1379 1
705 798 0
1328 1406 1
745 1407 1
1090 1147 0
217 1113 0
760 994 0
728 1383 0
502 810 0
377 860 0
80 994 1
864 1241 0
227 863 1
447 1123 1
1414 1437 1
399 596 0
